Temperature (K),U_iso (eV),U_soc (eV),U_cfs (eV),F_iso (eV),F_soc (eV),F_cfs (eV),S_iso (eV/K),S_soc (eV/K),S_cfs (eV/K)
300.0,0.0,7.518544631511203e-06,0.00058039099021592,-0.06822490952160479,-0.04632124718000929,-0.03596281359641359,0.00022741636507202278,0.00015442921908213815,0.00012181068195542895
301.0005885815185,-1.7763568394002505e-15,7.656345064610548e-06,0.0005848862172257441,-0.0684524597397463,-0.0464757672932757,-0.036084695973885174,0.00022741636507202234,0.000154429675373189,0.00012182556675506204
302.0011771630371,-1.7763568394002505e-15,7.935103775835728e-06,0.00059388562736995,-0.06868000995788782,-0.046630288319661345,-0.03620660813847787,0.0002274163650720154,0.00015443059988393126,0.0001218554150656942
303.0017657445556,-0.0,8.222069515007036e-06,0.0006029623384060656,-0.06890756017602932,-0.04678481028303754,-0.036328550247707043,0.00022741636507202234,0.0001544315484661475,0.00012188542018855275
304.00235432607417,-0.0,8.517420943654486e-06,0.0006121162930687873,-0.06913511039417085,-0.04693933320770425,-0.03645052245786638,0.0002274163650720154,0.00015443252154974732,0.00012191558090100113
305.0029429075927,1.7763568394002505e-15,8.82133896773496e-06,0.0006213474294476384,-0.06936266061231235,-0.04709385711839313,-0.03657252492402453,0.0002274163650720154,0.00015443351956783216,0.0001219458959772074
306.00353148911125,-0.0,9.134006749178525e-06,0.0006306556810677932,-0.06959021083045386,-0.047248382040270834,-0.03669455780002207,0.00022741636507202234,0.00015443454295659825,0.00012197636418844263
307.00412007062977,-0.0,9.455609695230294e-06,0.000640040976973566,-0.06981776104859537,-0.047402907998941944,-0.03681662123846874,0.00022741636507202234,0.00015443559215528452,0.00012200698430337581
308.00470865214834,-0.0,9.786335452233175e-06,0.0006495032417852542,-0.0700453112667369,-0.047557435020452093,-0.03693871539074102,0.00022741636507202234,0.0001544366676061379,0.00012203775508832712
309.00529723366685,-1.7763568394002505e-15,1.0126373897634267e-05,0.0006590423957817393,-0.0702728614848784,-0.0477119631312909,-0.03706084040697981,0.0002274163650720154,0.00015443776975437862,0.00012206867530753507
310.0058858151854,-0.0,1.0475917149754821e-05,0.0006686583549742053,-0.07050041170301992,-0.047866492358394935,-0.037182996436088654,0.0002274163650720154,0.0001544388990480719,0.00012209974372345486
311.00647439670394,-0.0,1.0835159543809425e-05,0.0006783510311771934,-0.07072796192116142,-0.048021022729150487,-0.03730518362573186,0.0002274163650720154,0.0001544400559381348,0.00012213095909694577
312.0070629782225,-1.7763568394002505e-15,1.1204297636346894e-05,0.0006881203320885376,-0.07095551213930293,-0.048175554271396505,-0.03742740212233328,0.0002274163650720154,0.0001544412408782704,0.0001221623201876458
313.007651559741,-0.0,1.1583530187486701e-05,0.0006979661613497612,-0.07118306235744444,-0.04833008701342719,-0.037549652071074996,0.0002274163650720154,0.0001544424543248532,0.0001221938257540793
314.00824014125953,-0.0,1.1973058168024409e-05,0.0007078884186313417,-0.07141061257558594,-0.048484620983994794,-0.03767193361589647,0.0002274163650720154,0.00015444369673697084,0.00012222547455402466
315.0088287227781,1.7763568394002505e-15,1.2373084742556273e-05,0.0007178869997019888,-0.07163816279372746,-0.04863915621231225,-0.037794246899493886,0.0002274163650720154,0.00015444496857628526,0.00012225726534469475
316.0094173042966,-0.0,1.278381525704475e-05,0.0007279617964979224,-0.07186571301186896,-0.048793692728055636,-0.03791659206331963,0.0002274163650720154,0.00015444627030697378,0.00012228919688297285
317.0100058858152,3.552713678800501e-15,1.3205457245035745e-05,0.0007381126972036967,-0.07209326323001049,-0.048948230561366816,-0.03803896924758224,0.0002274163650720154,0.00015444760239573252,0.00012232126792569367
318.0105944673337,1.7763568394002505e-15,1.3638220391243294e-05,0.00074833958631082,-0.07232081344815199,-0.04910276974285581,-0.03816137859124627,0.0002274163650720154,0.00015444896531164112,0.0001223534772298064
319.0111830488523,-1.7763568394002505e-15,1.4082316558194918e-05,0.0007586423447030199,-0.07254836366629351,-0.049257310303603176,-0.0382838202320327,0.0002274163650720154,0.0001544503595261454,0.0001223858235526419
320.0117716303708,-1.7763568394002505e-15,1.4537959747151774e-05,0.0007690208497264095,-0.07277591388443501,-0.04941185227516239,-0.03840629430641931,0.00022741636507200846,0.00015445178551300176,0.00012241830565214162
321.01236021188936,-0.0,1.5005366098108652e-05,0.000779474975259653,-0.07300346410257653,-0.049566395689562094,-0.03852880094964146,0.0002274163650720154,0.0001544532437481802,0.00012245092228703805
322.0129487934079,-0.0,1.5484753873806767e-05,0.0007900045917743626,-0.07323101432071803,-0.04972094057930825,-0.038651340295692956,0.0002274163650720154,0.00015445473470982948,0.00012248367221710799
323.01353737492644,-0.0,1.5976343455292863e-05,0.0008006095664221391,-0.07345856453885956,-0.049875486977386356,-0.03877391247732725,0.0002274163650720154,0.00015445625887819045,0.00012251655420331825
324.01412595644496,-0.0,1.648035732948472e-05,0.0008112897630994098,-0.07368611475700106,-0.05003003491726343,-0.038896517626058634,0.0002274163650720154,0.00015445781673557174,0.00012254956700810324
325.0147145379635,-1.7763568394002505e-15,1.6997020065190327e-05,0.0008220450425167058,-0.07391366497514258,-0.05018458443289015,-0.039019155872163945,0.0002274163650720154,0.0001544594087662457,0.0001225827093955141
326.01530311948204,-0.0,1.752655831843697e-05,0.0008328752622732694,-0.07414121519328408,-0.05033913555870265,-0.03914182734468415,0.0002274163650720154,0.00015446103545639633,0.00012261598013144775
