Temperature (K),Hard Sphere,Square Well,Lennard-Jones
565.6565656565657,4.9353334537198385e+25,4.830222667227739e+25,2.259393542848242e+25
573.7373737373738,4.9353334537198385e+25,4.831709602565723e+25,2.254150152866883e+25
581.8181818181819,4.9353334537198385e+25,4.83315505553541e+25,2.2489684814629237e+25
589.89898989899,4.9353334537198385e+25,4.8345607381517886e+25,2.2438473494338534e+25
597.979797979798,4.9353334537198385e+25,4.835928269500276e+25,2.2387856018257742e+25
606.0606060606061,4.9353334537198385e+25,4.837259181957629e+25,2.23378210796711e+25
614.1414141414142,4.9353334537198385e+25,4.838554926919727e+25,2.2288357614101473e+25
622.2222222222223,4.9353334537198385e+25,4.839816880081259e+25,2.2239454797948404e+25
630.3030303030304,4.9353334537198385e+25,4.841046346307627e+25,2.2191102046471346e+25
638.3838383838385,4.9353334537198385e+25,4.842244564135434e+25,2.2143289011225846e+25
646.4646464646465,4.9353334537198385e+25,4.8434127099340765e+25,2.2096005577045273e+25
654.5454545454546,4.9353334537198385e+25,4.844551901757948e+25,2.204924185864782e+25
662.6262626262627,4.9353334537198385e+25,4.84566320291565e+25,2.20029881969387e+25
670.7070707070708,4.9353334537198385e+25,4.846747625280271e+25,2.195723515506627e+25
678.7878787878789,4.9353334537198385e+25,4.847806132362329e+25,2.1911973514285167e+25
686.868686868687,4.9353334537198385e+25,4.848839642165005e+25,2.1867194269669842e+25
694.949494949495,4.9353334537198385e+25,4.849849029839451e+25,2.1822888625717182e+25
703.0303030303031,4.9353334537198385e+25,4.850835130156358e+25,2.177904799187186e+25
711.1111111111112,4.9353334537198385e+25,4.851798739808358e+25,2.173566397800137e+25
719.1919191919193,4.9353334537198385e+25,4.85274061955672e+25,2.1692728389847043e+25
727.2727272727274,4.9353334537198385e+25,4.853661496234406e+25,2.1650233224469487e+25
735.3535353535354,4.9353334537198385e+25,4.85456206461662e+25,2.1608170665707853e+25
743.4343434343435,4.9353334537198385e+25,4.855442989168956e+25,2.1566533079667207e+25
751.5151515151516,4.9353334537198385e+25,4.856304905682388e+25,2.1525313010246334e+25
759.5959595959597,4.9353334537198385e+25,4.857148422803543e+25,2.148450317471741e+25
767.6767676767678,4.9353334537198385e+25,4.857974123468015e+25,2.1444096459365435e+25
775.7575757575758,4.9353334537198385e+25,4.858782566243819e+25,2.140408591519553e+25
783.8383838383838,4.9353334537198385e+25,4.859574286591465e+25,2.136446475371347e+25
791.9191919191919,4.9353334537198385e+25,4.86034979804665e+25,2.1325226342784335e+25
800.0,4.9353334537198385e+25,4.861109593331028e+25,2.12863642025735e+25
