Temperature (K),Hard Sphere,Square Well,Lennard-Jones
0.0,,,-inf
8.080808080808081,4.9353334537198385e+25,-5.2279028585949105e+25,-5.076249417191249e+25
16.161616161616163,4.9353334537198385e+25,6.38509453159432e+24,-2.1129529122721784e+24
24.242424242424242,4.9353334537198385e+25,2.221736803618692e+25,1.1461421772678727e+25
32.323232323232325,4.9353334537198385e+25,2.9538206991977364e+25,1.7491836528446547e+25
40.40404040404041,4.9353334537198385e+25,3.375178378705222e+25,2.0738112647765363e+25
48.484848484848484,4.9353334537198385e+25,3.6488823864802423e+25,2.267690721203026e+25
56.56565656565657,4.9353334537198385e+25,3.840935856387311e+25,2.3909381170036896e+25
64.64646464646465,4.9353334537198385e+25,3.9831187358855365e+25,2.4723504594536486e+25
72.72727272727273,4.9353334537198385e+25,4.092617468922354e+25,2.5273186677370237e+25
80.80808080808082,4.9353334537198385e+25,4.179537118823871e+25,2.5647456569567637e+25
88.8888888888889,4.9353334537198385e+25,4.250207215872757e+25,2.590099219652971e+25
96.96969696969697,4.9353334537198385e+25,4.308794115238993e+25,2.6068988031707783e+25
105.05050505050505,4.9353334537198385e+25,4.358152219795275e+25,2.6174968864204905e+25
113.13131313131314,4.9353334537198385e+25,4.400302628091966e+25,2.6235153594951356e+25
121.21212121212122,4.9353334537198385e+25,4.436716503599605e+25,2.626101642812696e+25
129.2929292929293,4.9353334537198385e+25,4.468490186178316e+25,2.6260853623530483e+25
137.37373737373738,4.9353334537198385e+25,4.496457404644125e+25,2.624077611415506e+25
145.45454545454547,4.9353334537198385e+25,4.521263457796466e+25,2.620535757490601e+25
153.53535353535355,4.9353334537198385e+25,4.543415596844716e+25,2.6158068716241866e+25
161.61616161616163,4.9353334537198385e+25,4.563318064039149e+25,2.610157503822122e+25
169.69696969696972,4.9353334537198385e+25,4.581296975533523e+25,2.603794512531147e+25
177.7777777777778,4.9353334537198385e+25,4.5976183242270615e+25,2.59687989910645e+25
185.85858585858588,4.9353334537198385e+25,4.612501224050856e+25,2.5895415431432487e+25
